area,bedroom,price,floor,road-width,parking
 81 m,2 phòng ngủ," 3,2 tỷ ",5 lầu,8m,chỗ để xe
 111 m,2 phòng ngủ," 2,68 tỷ ",3 lầu,20m,
 70 m,2 phòng ngủ," 2,15 tỷ ",6 lầu,30m,
 83 m,2 phòng ngủ," 2,9 tỷ ",10 lầu,10m,
 70 m,2 phòng ngủ," 2,8 tỷ ",20 lầu,30m,
 74 m,2 phòng ngủ," 2,65 tỷ ",20 lầu,30m,
 130 m,3 phòng ngủ," 3,8 tỷ ",20 lầu,15m,chỗ để xe
 123 m,3 phòng ngủ," 4,8 tỷ ",10 lầu,30m,chỗ để xe
 92 m,3 phòng ngủ," 3,5 tỷ ",6 lầu,10m,
 57 m,2 phòng ngủ," 1,8 tỷ ",,0m,
 62 m,2 phòng ngủ," 2,3 tỷ ",1 lầu,20m,
 67 m,2 phòng ngủ, 45 triệu / m,32 lầu,,chỗ để xe
 88 m,2 phòng ngủ," 2,95 tỷ ",,,chỗ để xe
 66 m,2 phòng ngủ," 2,6 tỷ ",,0m,
 90 m,3 phòng ngủ," 3,05 tỷ ",1 lầu,5m,chỗ để xe
 80 m,3 phòng ngủ," 2,62 tỷ ",1 lầu,20m,
 90 m,3 phòng ngủ," 3,7 tỷ ",1 lầu,20m,
 139 m,3 phòng ngủ," 3,6 tỷ ",27 lầu,"4,5m",
 86 m,," 3,3 tỷ ",,6m,chỗ để xe
 53 m,2 phòng ngủ, 2 tỷ ,,0m,
 78 m,2 phòng ngủ," 2,9 tỷ ",,,chỗ để xe
 80 m,2 phòng ngủ," 3,1 tỷ ",,,chỗ để xe
 65 m,2 phòng ngủ," 1,75 tỷ ",,5m,
 190 m,3 phòng ngủ," 3,55 tỷ ",18 lầu,80m,chỗ để xe
 32 m,1 phòng ngủ, 630 triệu ,1 lầu,,
 65 m,2 phòng ngủ," 2,84 tỷ ",,16m,chỗ để xe
 45 m,3 phòng ngủ," 5,5 tỷ ",1 lầu,15m,chỗ để xe
 84 m,18 phòng ngủ," 15,6 tỷ ",8 lầu,3m,
 57 m,2 phòng ngủ," 47,5 triệu / m",,30m,
 66 m,2 phòng ngủ," 2,8 tỷ ",8 lầu,10m,chỗ để xe
 76 m,2 phòng ngủ," 2,9 tỷ ",20 lầu,10m,chỗ để xe
 80 m,2 phòng ngủ, 50 triệu / m,29 lầu,,
 76 m,2 phòng ngủ," 3,2 tỷ ",1 lầu,,chỗ để xe
 80 m,2 phòng ngủ, 30 triệu / m,5 lầu,30m,chỗ để xe
 71 m,2 phòng ngủ, 35 triệu / m,16 lầu,,
 70 m,2 phòng ngủ, 20 triệu / m,20 lầu,,
 125 m,3 phòng ngủ," 3,7 tỷ ",1 lầu,20m,
 65 m,2 phòng ngủ," 1,79 tỷ ",33 lầu,15m,chỗ để xe
 70 m,2 phòng ngủ," 2,05 tỷ ",12 lầu,14m,
 140 m,3 phòng ngủ," 3,65 tỷ ",14 lầu,,chỗ để xe
 49 m,1 phòng ngủ," 1,76 tỷ ",1 lầu,6m,chỗ để xe
 60 m,2 phòng ngủ," 1,98 tỷ ",1 lầu,,
 76 m,3 phòng ngủ," 2,95 tỷ ",1 lầu,,
 110 m,5 phòng ngủ," 2,4 tỷ ",3 lầu,5m,chỗ để xe
 72 m,2 phòng ngủ," 2,8 tỷ ",21 lầu,,
 49 m,1 phòng ngủ," 1,63 tỷ ",15 lầu,,chỗ để xe
 57 m,2 phòng ngủ, 220 triệu ,9 lầu,,
 80 m,2 phòng ngủ," 2,65 tỷ ",9 lầu,17m,
 86 m,2 phòng ngủ," 2,85 tỷ ",1 lầu,1m,chỗ để xe
 56 m,2 phòng ngủ, 20 triệu / m,6 lầu,,
 61 m,2 phòng ngủ," 2,7 tỷ ",,40m,chỗ để xe
 97 m,3 phòng ngủ," 2,77 tỷ ",1 lầu,8m,chỗ để xe
 70 m,2 phòng ngủ," 1,8 tỷ ",11 lầu,,
 115 m,3 phòng ngủ," 3,65 tỷ ",23 lầu,63m,
 62 m,2 phòng ngủ, 3 tỷ ,,0m,
 52 m,2 phòng ngủ, 2 tỷ ,,,chỗ để xe
 48 m,1 phòng ngủ, 2 tỷ ,,0m,
 90 m,3 phòng ngủ," 3,05 tỷ ",12 lầu,30m,
 81 m,3 phòng ngủ," 1,8 tỷ ",1 lầu,,
 71 m,2 phòng ngủ," 3,2 tỷ ",,,chỗ để xe
 70 m,2 phòng ngủ," 2,85 tỷ ",5 lầu,8m,
 80 m,2 phòng ngủ," 3,1 tỷ ",16 lầu,10m,
 86 m,3 phòng ngủ," 2,75 tỷ ",,,
 85 m,3 phòng ngủ, 3 tỷ ,,,
 77 m,2 phòng ngủ," 2,3 tỷ ",1 lầu,10m,chỗ để xe
 65 m,2 phòng ngủ," 2,7 tỷ ",18 lầu,40m,chỗ để xe
 86 m,2 phòng ngủ, 3 tỷ ,,26m,chỗ để xe
 120 m,3 phòng ngủ," 3,5 tỷ ",4 lầu,10m,
 62 m,2 phòng ngủ," 2,3 tỷ ",15 lầu,,
 82 m,2 phòng ngủ," 2,4 tỷ ",1 lầu,2m,
 100 m,3 phòng ngủ," 3,6 tỷ ",5 lầu,,chỗ để xe
 99 m,3 phòng ngủ," 3,9 tỷ ",,,
 72 m,3 phòng ngủ," 1,93 tỷ ",6 lầu,2m,
 62 m,2 phòng ngủ," 2,09 tỷ ",12 lầu,,
 80 m,2 phòng ngủ," 2,95 tỷ ",15 lầu,17m,
 68 m,2 phòng ngủ," 2,6 tỷ ",,,chỗ để xe
 99 m,3 phòng ngủ," 3,3 tỷ ",9 lầu,20m,
 77 m,3 phòng ngủ," 2,55 tỷ ",10 lầu,20m,
 82 m,3 phòng ngủ," 2,65 tỷ ",6 lầu,20m,
 69 m,2 phòng ngủ," 2,69 tỷ ",1 lầu,5m,chỗ để xe
 76 m,2 phòng ngủ," 2,95 tỷ ",20 lầu,,
 65 m,2 phòng ngủ," 2,86 tỷ ",26 lầu,,
 69 m,2 phòng ngủ," 2,5 tỷ ",20 lầu,20m,
 50 m,2 phòng ngủ, 600 triệu ,6 lầu,,
 92 m,3 phòng ngủ," 2,5 tỷ ",12 lầu,,
 99 m,3 phòng ngủ," 4,35 tỷ ",5 lầu,10m,
 110 m,32 phòng ngủ," 19,9 tỷ ",8 lầu,5m,
 67 m,2 phòng ngủ," 1,65 tỷ ",,,
 94 m,3 phòng ngủ," 3,79 tỷ ",19 lầu,,
 72 m,2 phòng ngủ," 1,99 tỷ ",,,chỗ để xe
 91 m,2 phòng ngủ," 2,99 tỷ ",19 lầu,,
 70 m,2 phòng ngủ," 2,3 tỷ ",2 lầu,,chỗ để xe
 68 m,2 phòng ngủ, 3 tỷ ,21 lầu,,chỗ để xe
 93 m,3 phòng ngủ," 2,6 tỷ ",1 lầu,4m,chỗ để xe
 80 m,2 phòng ngủ," 2,89 tỷ ",1 lầu,5m,chỗ để xe
 75 m,2 phòng ngủ," 2,55 tỷ ",15 lầu,,
 91 m,3 phòng ngủ," 3,8 tỷ ",1 lầu,15m,chỗ để xe
 55 m,1 phòng ngủ, 2 tỷ ,,,chỗ để xe
 74 m,2 phòng ngủ," 2,1 tỷ ",31 lầu,,
 99 m,3 phòng ngủ," 3,3 tỷ ",26 lầu,5m,chỗ để xe
 70 m,2 phòng ngủ," 3,35 tỷ ",1 lầu,25m,
 58 m,2 phòng ngủ," 1,78 tỷ ",21 lầu,,
 77 m,3 phòng ngủ," 3,6 tỷ ",1 lầu,30m,chỗ để xe
 130 m,2 phòng ngủ, 3 tỷ ,3 lầu,20m,chỗ để xe
 63 m,2 phòng ngủ," 1,78 tỷ ",,,
 74 m,3 phòng ngủ," 2,15 tỷ ",1 lầu,3m,chỗ để xe
 78 m,3 phòng ngủ," 2,05 tỷ ",30 lầu,,chỗ để xe
 101 m,3 phòng ngủ," 3,4 tỷ ",17 lầu,,
 74 m,2 phòng ngủ," 1,39 tỷ ",,,
 85 m,2 phòng ngủ," 2,4 tỷ ",,,
 90 m,3 phòng ngủ," 3,49 tỷ ",,,
 63 m,2 phòng ngủ," 2,16 tỷ ",21 lầu,,
 82 m,2 phòng ngủ," 2,68 tỷ ",1 lầu,10m,chỗ để xe
 76 m,3 phòng ngủ," 1,7 tỷ ",10 lầu,,
 80 m,2 phòng ngủ," 1,8 tỷ ",12 lầu,,
 77 m,3 phòng ngủ," 2,3 tỷ ",10 lầu,,
 112 m,3 phòng ngủ," 3,45 tỷ ",1 lầu,3m,chỗ để xe
 65 m,2 phòng ngủ," 2,5 tỷ ",,,
 54 m,2 phòng ngủ," 2,4 tỷ ",,,
 72 m,2 phòng ngủ," 1,65 tỷ ",10 lầu,,
 66 m,2 phòng ngủ," 1,47 tỷ ",30 lầu,,
 71 m,2 phòng ngủ," 3,35 tỷ ",1 lầu,,
 67 m,2 phòng ngủ," 1,48 tỷ ",1 lầu,,
 75 m,2 phòng ngủ," 2,4 tỷ ",1 lầu,,
 32 m,2 phòng ngủ," 1,1 tỷ ",2 lầu,,chỗ để xe
 75 m,17 phòng ngủ," 8,8 tỷ ",8 lầu,5m,chỗ để xe
 69 m,2 phòng ngủ," 2,98 tỷ ",,,
 57 m,2 phòng ngủ," 1,42 tỷ ",5 lầu,,
 62 m,," 2,2 tỷ ",,1m,chỗ để xe
 86 m,3 phòng ngủ," 3,55 tỷ ",1 lầu,,
 67 m,2 phòng ngủ," 3,1 tỷ ",1 lầu,,
 68 m,2 phòng ngủ," 2,7 tỷ ",,,
 81 m,3 phòng ngủ," 2,65 tỷ ",6 lầu,,
 134 m,3 phòng ngủ," 3,1 tỷ ",,,
 71 m,2 phòng ngủ," 1,787 tỷ ",,,
 75 m,2 phòng ngủ," 2,85 tỷ ",1 lầu,,chỗ để xe
 76 m,2 phòng ngủ," 3,1 tỷ ",1 lầu,30m,chỗ để xe
 140 m,3 phòng ngủ," 4,58 tỷ ",1 lầu,30m,chỗ để xe
 75 m,2 phòng ngủ, 2 tỷ ,1 lầu,20m,chỗ để xe
 62 m,2 phòng ngủ," 1,42 tỷ ",1 lầu,30m,chỗ để xe
 71 m,2 phòng ngủ," 2,1 tỷ ",11 lầu,12m,chỗ để xe
 62 m,2 phòng ngủ," 1,95 tỷ ",35 lầu,,
 70 m,2 phòng ngủ," 1,85 tỷ ",1 lầu,,
 62 m,2 phòng ngủ," 3,1 tỷ ",1 lầu,,
 95 m,3 phòng ngủ," 2,9 tỷ ",1 lầu,,
 75 m,2 phòng ngủ," 2,46 tỷ ",1 lầu,,
 76 m,3 phòng ngủ," 2,56 tỷ ",,,
 71 m,3 phòng ngủ," 2,2 tỷ ",,,
 88 m,3 phòng ngủ," 2,45 tỷ ",6 lầu,,chỗ để xe
 93 m,3 phòng ngủ," 3,95 tỷ ",,20m,
 62 m,2 phòng ngủ," 1,7 tỷ ",9 lầu,20m,
 85 m,2 phòng ngủ," 2,4 tỷ ",20 lầu,,
 63 m,2 phòng ngủ," 2,95 tỷ ",17 lầu,4m,
 80 m,3 phòng ngủ," 2,5 tỷ ",7 lầu,20m,chỗ để xe
 95 m,3 phòng ngủ," 4,25 tỷ ",1 lầu,,
 63 m,2 phòng ngủ," 2,25 tỷ ",1 lầu,,
 91 m,3 phòng ngủ," 3,5 tỷ ",1 lầu,,
 76 m,2 phòng ngủ, 2 tỷ ,,,
 106 m,3 phòng ngủ," 4,2 tỷ ",5 lầu,20m,chỗ để xe
 60 m,2 phòng ngủ," 2,45 tỷ ",15 lầu,30m,
 121 m,3 phòng ngủ, 3 tỷ ,4 lầu,30m,
 76 m,3 phòng ngủ," 3,6 tỷ ",16 lầu,,
 71 m,2 phòng ngủ," 1,75 tỷ ",1 lầu,20m,chỗ để xe
 112 m,3 phòng ngủ," 3,25 tỷ ",1 lầu,10m,
 92 m,3 phòng ngủ," 2,9 tỷ ",25 lầu,10m,
 65 m,2 phòng ngủ," 2,83 tỷ ",18 lầu,12m,
 65 m,2 phòng ngủ," 1,75 tỷ ",1 lầu,,
 80 m,3 phòng ngủ," 2,45 tỷ ",6 lầu,,
 65 m,2 phòng ngủ," 2,25 tỷ ",1 lầu,30m,chỗ để xe
 106 m,3 phòng ngủ," 4,1 tỷ ",,,chỗ để xe
 95 m,3 phòng ngủ," 2,68 tỷ ",3 lầu,10m,chỗ để xe
 75 m,3 phòng ngủ, 2 tỷ ,1 lầu,3m,
 108 m,3 phòng ngủ, 5 tỷ ,16 lầu,8m,
 81 m,2 phòng ngủ," 2,6 tỷ ",1 lầu,10m,
 74 m,3 phòng ngủ," 2,1 tỷ ",1 lầu,10m,
 75 m,2 phòng ngủ," 2,8 tỷ ",1 lầu,20m,
 86 m,3 phòng ngủ," 2,32 tỷ ",,,
 71 m,2 phòng ngủ," 2,35 tỷ ",,,
 71 m,2 phòng ngủ," 1,75 tỷ ",26 lầu,,chỗ để xe
 66 m,2 phòng ngủ," 2,7 tỷ ",,,chỗ để xe
 60 m,2 phòng ngủ," 1,73 tỷ ",11 lầu,,
 79 m,2 phòng ngủ," 2,5 tỷ ",,,
 72 m,2 phòng ngủ," 2,88 tỷ ",1 lầu,8m,
 69 m,2 phòng ngủ," 1,8 tỷ ",15 lầu,,
 74 m,3 phòng ngủ," 1,95 tỷ ",43 lầu,,
 76 m,3 phòng ngủ," 1,98 tỷ ",9 lầu,20m,chỗ để xe
 64 m,4 phòng ngủ," 2,35 tỷ ",4 lầu,8m,
 82 m,3 phòng ngủ," 2,45 tỷ ",10 lầu,,
 78 m,2 phòng ngủ," 1,75 tỷ ",,,
 76 m,2 phòng ngủ," 2,3 tỷ ",,,
 76 m,2 phòng ngủ," 2,05 tỷ ",,,
 123 m,4 phòng ngủ, 29 triệu / m,19 lầu,,
 117 m,3 phòng ngủ," 3,39 tỷ ",27 lầu,,chỗ để xe
 65 m,2 phòng ngủ," 2,24 tỷ ",,,
 62 m,2 phòng ngủ," 2,8 tỷ ",,,
 76 m,2 phòng ngủ, 3 tỷ ,,4m,
 86 m,3 phòng ngủ," 2,25 tỷ ",1 lầu,4m,chỗ để xe
 54 m,2 phòng ngủ," 1,57 tỷ ",45 lầu,,
 76 m,3 phòng ngủ," 1,78 tỷ ",17 lầu,,
 130 m,3 phòng ngủ," 3,65 tỷ ",21 lầu,,
 65 m,2 phòng ngủ," 1,45 tỷ ",1 lầu,4m,
 89 m,3 phòng ngủ," 2,2 tỷ ",,,
 91 m,3 phòng ngủ," 3,8 tỷ ",,,
 76 m,2 phòng ngủ," 2,65 tỷ ",,,
 75 m,2 phòng ngủ," 2,15 tỷ ",,,
 74 m,2 phòng ngủ," 2,52 tỷ ",,6m,chỗ để xe
 60 m,2 phòng ngủ," 1,66 tỷ ",1 lầu,50m,
 70 m,3 phòng ngủ," 2,33 tỷ ",20 lầu,,chỗ để xe
 64 m,2 phòng ngủ," 2,35 tỷ ",15 lầu,,chỗ để xe
 90 m,3 phòng ngủ," 3,4 tỷ ",26 lầu,,chỗ để xe
 81 m,3 phòng ngủ," 1,8 tỷ ",,,
 83 m,3 phòng ngủ," 2,25 tỷ ",,,
 51 m,2 phòng ngủ, 41 triệu / m,10 lầu,,chỗ để xe
 100 m,3 phòng ngủ," 2,9 tỷ ",,,chỗ để xe
 40 m,2 phòng ngủ, 950 triệu ,2 lầu,5m,
 65 m,2 phòng ngủ," 1,65 tỷ ",40 lầu,,
 80 m,3 phòng ngủ," 2,999 tỷ ",19 lầu,,
 56 m,2 phòng ngủ," 1,33 tỷ ",25 lầu,,
 85 m,2 phòng ngủ," 3,6 tỷ ",20 lầu,,
 65 m,2 phòng ngủ," 1,85 tỷ ",42 lầu,1m,
 108 m,3 phòng ngủ," 5,5 tỷ ",19 lầu,,
 60 m,2 phòng ngủ," 2,28 tỷ ",5 lầu,,
 56 m,2 phòng ngủ," 1,45 tỷ ",28 lầu,,
 60 m,2 phòng ngủ," 1,63 tỷ ",,30m,chỗ để xe
